hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag
HV0003,B02877,B02877,2021-01-01T00:28:40.000Z,2021-01-01T00:36:20.000Z,2021-01-01T00:36:20.000Z,2021-01-01T01:14:59.000Z,230,186,2.74,2319,10.44,0.0,0.31,0.93,2.75,,0.0,24.96,N,N,"",N,N
HV0004,B02800,,2021-01-01T00:21:59.000Z,,2021-01-01T00:28:43.000Z,2021-01-01T00:47:00.000Z,4,145,5.94,1096,24.95,0.0,0.0,1.77,2.75,,0.0,15.43,N,N,N,N,N
HV0004,B02800,,2021-01-01T00:41:48.000Z,,2021-01-01T00:51:39.000Z,2021-01-01T01:02:52.000Z,145,146,2.53,673,15.95,0.0,0.0,1.13,0.0,,0.0,8.28,N,N,N,N,N
HV0003,B02889,B02889,2021-01-01T00:13:11.000Z,2021-01-01T00:17:21.000Z,2021-01-01T00:19:21.000Z,2021-01-01T00:46:32.000Z,185,116,7.16,1631,28.76,0.0,0.86,2.55,0.0,,0.0,25.68,N,N,"",N,N
HV0003,B02889,B02889,2021-01-01T00:45:25.000Z,2021-01-01T00:48:53.000Z,2021-01-01T00:50:12.000Z,2021-01-01T01:05:42.000Z,116,242,6.39,930,20.14,0.0,0.6,1.79,0.0,,0.0,18.97,N,N,"",N,N
HV0005,B02510,,2021-01-01T00:09:44.000Z,,2021-01-01T00:12:22.000Z,2021-01-01T00:22:25.000Z,148,79,0.865,603,7.37,0.0,0.22,0.65,2.75,,0.0,6.01,N,N,N,N,N
HV0005,B02510,,2021-01-01T00:23:59.000Z,,2021-01-01T00:27:03.000Z,2021-01-01T00:46:57.000Z,4,265,4.223,1194,24.04,20.0,1.32,0.0,0.0,,1.0,16.98,N,N,N,N,N
HV0003,B02889,B02889,2021-01-01T00:06:57.000Z,2021-01-01T00:09:21.000Z,2021-01-01T00:10:34.000Z,2021-01-01T00:15:31.000Z,80,255,1.21,297,7.12,0.0,0.21,0.63,0.0,,0.0,6.82,N,N,"",N,N
HV0003,B02889,B02889,2021-01-01T00:22:18.000Z,2021-01-01T00:23:45.000Z,2021-01-01T00:23:56.000Z,2021-01-01T00:31:22.000Z,255,80,1.31,446,7.12,0.0,0.21,0.63,0.0,,0.0,6.82,N,N,"",N,N
HV0003,B02889,B02889,2021-01-01T00:32:34.000Z,2021-01-01T00:33:09.000Z,2021-01-01T00:33:57.000Z,2021-01-01T00:37:31.000Z,80,80,0.7,214,7.91,0.0,0.24,0.7,0.0,,0.0,6.81,N,N,"",N,N
HV0003,B02889,B02889,2021-01-01T00:37:33.000Z,2021-01-01T00:39:01.000Z,2021-01-01T00:41:01.000Z,2021-01-01T00:53:33.000Z,80,226,3.3,752,16.05,0.0,0.48,1.42,0.0,,0.0,11.35,N,N,"",N,N
HV0005,B02510,,2021-01-01T00:23:03.000Z,,2021-01-01T00:25:45.000Z,2021-01-01T00:35:41.000Z,209,137,3.695,596,12.28,0.0,0.0,0.0,2.75,,0.0,9.1,N,N,N,N,N
HV0005,B02510,,2021-01-01T00:40:43.000Z,,2021-01-01T00:42:23.000Z,2021-01-01T01:01:28.000Z,4,49,4.744,1145,21.34,0.0,0.64,1.89,2.75,,0.0,14.86,N,N,N,N,N
HV0005,B02510,,2021-01-01T00:31:19.000Z,,2021-01-01T00:42:26.000Z,2021-01-01T01:11:38.000Z,71,77,4.392,1752,23.69,0.0,0.71,2.1,0.0,,0.0,22.06,N,N,N,N,Y
HV0003,B02512,B02512,2020-12-31T23:58:40.000Z,2021-01-01T00:04:45.000Z,2021-01-01T00:05:32.000Z,2021-01-01T00:17:36.000Z,35,72,2.03,724,11.12,0.0,0.33,0.99,0.0,,0.0,13.3,N,N,"",N,N
HV0003,B02764,B02764,2021-01-01T00:43:22.000Z,2021-01-01T00:44:55.000Z,2021-01-01T00:46:23.000Z,2021-01-01T00:52:15.000Z,113,148,1.02,352,7.91,0.0,0.24,0.7,2.75,,0.0,6.09,N,N,"",N,N
HV0003,B02764,B02764,2021-01-01T00:56:37.000Z,2021-01-01T00:57:55.000Z,2021-01-01T00:59:10.000Z,2021-01-01T01:08:09.000Z,211,66,2.45,539,11.24,0.0,0.34,1.0,2.75,,0.0,7.9,N,N,"",N,N
HV0003,B02876,B02876,2021-01-01T00:11:56.000Z,2021-01-01T00:12:33.000Z,2021-01-01T00:13:51.000Z,2021-01-01T00:20:26.000Z,17,61,1.59,395,7.91,0.0,0.24,0.7,0.0,,0.0,11.99,N,N,"",N,N
HV0003,B02876,B02876,2021-01-01T00:32:43.000Z,2021-01-01T00:34:01.000Z,2021-01-01T00:36:01.000Z,2021-01-01T00:56:18.000Z,256,13,5.53,1217,23.76,0.0,0.71,2.11,2.75,,0.0,22.87,N,N,"",N,N
HV0003,B02872,B02872,2021-01-01T00:14:20.000Z,2021-01-01T00:15:30.000Z,2021-01-01T00:17:32.000Z,2021-01-01T00:33:42.000Z,90,87,6.0,970,21.41,0.0,0.64,1.9,2.75,,0.0,17.7,N,N,"",N,N
HV0003,B02872,B02872,2021-01-01T00:44:07.000Z,2021-01-01T00:47:02.000Z,2021-01-01T00:47:50.000Z,2021-01-01T01:03:45.000Z,231,141,6.5,955,18.38,0.0,0.55,1.63,2.75,,0.0,18.12,N,N,"",N,N
HV0005,B02510,,2021-01-01T00:11:55.000Z,,2021-01-01T00:15:03.000Z,2021-01-01T00:41:05.000Z,48,97,6.881,1562,30.07,0.85,0.93,2.74,2.75,,0.0,20.71,N,N,N,N,N
HV0005,B02510,,2021-01-01T00:40:38.000Z,,2021-01-01T00:47:09.000Z,2021-01-01T01:05:40.000Z,97,231,3.447,1111,19.0,0.0,0.57,1.69,2.75,,0.0,15.04,N,N,N,N,N
HV0005,B02510,,2021-01-01T00:05:44.000Z,,2021-01-01T00:09:53.000Z,2021-01-01T00:49:57.000Z,61,117,13.469,2404,41.39,3.54,1.35,3.99,0.0,,0.0,35.08,N,N,N,N,N
HV0005,B02510,,2021-01-01T00:41:41.000Z,,2021-01-01T00:52:59.000Z,2021-01-01T01:27:18.000Z,117,76,10.282,2059,31.71,2.19,1.02,3.01,0.0,,0.0,28.66,N,N,N,N,N
HV0003,B02764,B02764,2021-01-01T00:37:39.000Z,2021-01-01T00:41:52.000Z,2021-01-01T00:42:10.000Z,2021-01-01T00:46:56.000Z,7,7,1.38,286,7.91,0.0,0.24,0.7,0.0,,0.0,8.84,N,N,"",N,N
